State,Agency type,Agency name,Race,Religion,Sexual orientation,Ethnicity,Disability,Gender,Gender Identity,1st quarter,2nd quarter,3rd quarter,4th quarter,Population
Arizona,Metropolitan Counties,Yuma,1,0,0,1,0,0,0,0,1,0,1,
Arkansas,Cities,Bentonville,1,0,0,0,0,0,0,0,0,1,0,"39,132"
Arkansas,Cities,Berryville,1,0,0,0,0,0,0,0,0,1,0,"5,417"
Arkansas,Cities,Cabot,1,0,0,0,0,0,0,0,0,1,0,"24,695"
Arkansas,Cities,England,1,0,0,0,0,0,0,0,1,0,0,"2,806"
Arkansas,Cities,Fairfield Bay,1,0,0,0,0,0,0,0,0,1,0,"2,295"
Arkansas,Cities,Fort Smith,1,0,1,0,0,0,0,0,0,0,2,"87,821"
Arkansas,Cities,Gurdon,1,0,0,0,0,0,0,1,0,0,0,"2,184"
Arkansas,Cities,Marion,0,0,1,0,0,0,0,0,0,1,0,"12,258"
Arkansas,Cities,North Little Rock,1,0,0,0,0,0,0,0,1,0,0,"65,398"
Arkansas,Cities,Pine Bluff,0,0,1,0,0,0,0,1,0,0,0,"46,399"
Arkansas,Cities,Rogers,1,0,0,0,0,0,0,0,1,0,0,"59,787"
Arkansas,Cities,Sherwood,1,0,0,0,0,0,0,1,0,0,0,"29,900"
Arkansas,Universities and Colleges,"University of Arkansas, Pine Bluff",0,0,1,0,0,0,0,0,0,1,0,"2,828"
Arkansas,Metropolitan Counties,Crawford,2,0,2,0,0,0,0,0,2,1,1,
Arkansas,Metropolitan Counties,Faulkner,1,0,0,1,0,0,0,0,1,0,1,
Arkansas,Metropolitan Counties,Lonoke,1,0,0,0,0,0,0,1,0,0,0,
Arkansas,Metropolitan Counties,Pulaski,1,0,1,1,0,0,0,1,0,1,1,
Arkansas,Metropolitan Counties,Sebastian,1,0,0,0,0,0,0,0,1,0,0,
Arkansas,Nonmetropolitan Counties,Greene,1,0,0,0,0,0,0,0,0,1,0,
Arkansas,Nonmetropolitan Counties,Pope,0,0,1,0,0,0,0,0,1,0,0,
California,Cities,Adelanto,1,0,0,1,0,0,0,1,0,1,0,"31,165"
California,Cities,Agoura Hills,2,0,0,0,0,0,0,0,2,0,0,"20,762"
California,Cities,Alameda,0,1,0,0,0,0,0,0,0,0,1,"76,206"
California,Cities,Alhambra,1,0,0,0,0,0,0,0,0,0,1,"84,710"
California,Cities,Antioch,2,0,0,0,0,0,0,1,1,0,0,"106,447"
California,Cities,Arcadia,1,0,0,0,0,0,0,1,0,0,0,"57,855"
California,Cities,Atascadero,1,0,0,1,0,0,0,0,0,1,1,"28,938"
California,Cities,Atwater,0,0,0,1,0,0,0,0,1,0,0,"28,906"
California,Cities,Auburn,1,0,0,0,0,0,0,0,1,0,0,"13,779"
California,Cities,Azusa,1,0,0,0,0,0,0,0,0,1,0,"47,754"
California,Cities,Bakersfield,2,1,0,0,0,0,0,0,0,2,1,"361,859"
California,Cities,Baldwin Park,0,0,1,0,0,0,0,0,0,1,0,"76,745"
California,Cities,Banning,0,0,0,1,0,0,0,0,0,1,0,"30,503"
California,Cities,Berkeley,7,1,4,1,0,0,0,6,2,4,1,"116,217"
California,Cities,Beverly Hills,0,1,0,0,0,0,0,1,0,0,0,"34,780"
California,Cities,Brentwood3,4,0,0,0,0,0,0,0,1,2,1,"54,301"
California,Cities,Buena Park3,0,0,1,1,0,0,0,0,1,0,1,"82,632"
California,Cities,Burbank,1,1,2,1,0,0,0,1,2,2,0,"104,727"
California,Cities,Calabasas,0,2,0,0,0,0,0,1,0,0,1,"24,114"
California,Cities,Camarillo,2,1,0,0,0,0,0,1,1,1,0,"66,173"
California,Cities,Campbell,1,0,0,0,0,0,0,0,1,0,0,"40,549"
California,Cities,Carlsbad,1,1,0,1,0,0,0,0,0,3,0,"110,505"
California,Cities,Carson,1,0,0,0,0,0,0,0,0,0,1,"93,415"
California,Cities,Cerritos,3,0,0,0,0,0,0,1,0,0,2,"49,816"
California,Cities,Chico,1,3,0,0,0,0,0,1,2,0,1,"88,226"
California,Cities,Chino,2,2,2,3,0,0,0,2,2,3,2,"80,704"
California,Cities,Chula Vista,3,0,1,0,0,0,0,0,3,0,1,"255,073"
California,Cities,Citrus Heights,1,0,0,0,0,0,0,0,1,0,0,"85,337"
California,Cities,Claremont,1,1,1,0,0,0,0,2,0,0,1,"35,623"
California,Cities,Clearlake,1,0,1,0,0,0,0,1,0,0,1,"14,951"
California,Cities,Clovis,0,1,2,1,0,0,0,0,1,1,2,"99,483"
California,Cities,Colton,1,0,0,0,0,0,0,0,0,0,1,"53,403"
California,Cities,Compton,1,0,1,0,0,0,0,0,1,0,1,"97,907"
California,Cities,Concord,1,0,0,0,0,0,0,0,1,0,0,"125,464"
California,Cities,Corcoran,1,0,0,0,0,0,0,0,0,1,0,"23,290"
California,Cities,Corona,0,0,0,1,0,0,0,0,0,0,1,"160,159"
California,Cities,Coronado,0,1,0,0,0,0,0,1,0,0,0,"23,183"
California,Cities,Costa Mesa,1,0,0,0,0,0,0,0,0,0,1,"112,538"
California,Cities,Covina,0,2,1,0,0,0,0,0,3,0,0,"48,524"
California,Cities,Cupertino,0,0,0,0,0,0,1,0,0,0,1,"60,440"
California,Cities,Cypress,0,0,0,1,0,0,0,0,0,1,0,"49,067"
California,Cities,Daly City,0,2,1,0,0,0,0,1,0,1,1,"104,536"
California,Cities,Dana Point,0,1,0,0,0,0,0,0,1,0,0,"34,262"
California,Cities,Davis,2,1,4,1,0,0,0,3,4,0,1,"66,126"
California,Cities,Duarte,1,0,1,0,0,0,0,1,0,1,0,"21,759"
California,Cities,El Cajon,1,0,0,1,0,0,0,0,1,0,1,"102,012"
California,Cities,El Cerrito,0,2,1,4,0,0,0,3,1,2,1,"24,184"
California,Cities,Elk Grove,1,0,0,0,0,0,0,0,0,0,1,"160,925"
California,Cities,El Monte,5,0,0,0,0,0,0,0,3,0,2,"115,591"
California,Cities,Emeryville,1,0,0,0,0,0,0,0,1,0,0,"10,415"
California,Cities,Encinitas,2,1,0,1,0,0,0,2,1,1,0,"61,433"
California,Cities,Escondido,4,1,1,2,0,0,0,2,2,3,1,"148,650"
California,Cities,Eureka,1,0,1,0,0,0,0,1,1,0,0,"26,881"
California,Cities,Fairfield,2,0,0,1,0,0,0,1,0,0,2,"108,425"
California,Cities,Fontana,1,0,0,0,0,0,0,0,1,0,0,"203,427"
California,Cities,Foster City,1,0,0,0,0,0,0,1,0,0,0,"32,652"
California,Cities,Fresno,4,0,3,2,0,0,1,3,3,1,3,"508,876"
California,Cities,Fullerton,0,1,1,0,0,0,0,1,0,0,1,"139,676"
California,Cities,Galt,1,0,0,0,0,0,0,0,0,1,0,"24,553"
California,Cities,Garden Grove,1,0,0,3,0,0,0,0,1,2,1,"175,469"
California,Cities,Gilroy,0,0,2,0,0,0,0,0,1,1,0,"51,240"
California,Cities,Glendale,1,0,0,0,0,0,0,0,0,1,0,"195,366"
California,Cities,Glendora,1,0,0,0,0,0,0,1,0,0,0,"50,893"
California,Cities,Gridley,0,0,0,1,0,0,0,1,0,0,0,"6,563"
California,Cities,Hanford,1,0,1,0,0,0,0,1,0,1,0,"54,425"
California,Cities,Hawaiian Gardens,4,0,0,0,0,0,0,2,1,1,0,"14,437"
California,Cities,Hayward,0,1,1,0,0,0,0,0,2,0,0,"150,955"
California,Cities,Healdsburg,1,0,0,0,0,0,0,1,0,0,0,"11,483"
California,Cities,Hercules,0,0,0,1,0,0,0,0,0,1,0,"24,831"
California,Cities,Holtville,0,1,0,0,0,0,0,0,0,0,1,"6,022"
California,Cities,Huntington Beach,0,0,0,0,0,0,1,0,1,0,0,"195,842"
California,Cities,Imperial Beach,1,0,1,1,0,0,0,1,1,1,0,"26,998"
California,Cities,Irvine,0,1,0,0,0,0,0,0,1,0,0,"235,830"
California,Cities,Jurupa Valley,0,1,0,0,0,0,0,0,0,1,0,"98,090"
California,Cities,Laguna Beach,0,0,1,0,0,0,0,0,1,0,0,"23,313"
California,Cities,La Habra,0,1,0,0,0,0,0,0,0,1,0,"61,740"
California,Cities,Lake Elsinore,0,2,0,0,0,0,0,0,0,2,0,"56,232"
California,Cities,Lake Forest,2,0,0,0,0,0,0,1,0,0,1,"79,336"
California,Cities,Lakewood,2,0,0,0,0,0,0,0,1,0,1,"81,086"
California,Cities,La Mirada,1,2,0,0,0,0,0,1,2,0,0,"49,150"
California,Cities,Lancaster,3,1,0,1,0,0,0,1,2,1,1,"159,792"
California,Cities,La Quinta,1,1,0,0,0,0,0,1,0,1,0,"39,150"
California,Cities,Lemon Grove,1,0,1,0,0,0,0,1,1,0,0,"26,156"
California,Cities,Lemoore,1,0,0,0,0,0,0,1,0,0,0,"24,802"
California,Cities,Livermore,0,0,0,1,0,0,0,0,0,1,0,"84,350"
California,Cities,Lodi,0,0,0,2,0,0,0,0,1,1,0,"63,639"
California,Cities,Lomita,0,0,0,1,0,0,0,0,1,0,0,"20,622"
California,Cities,Long Beach,3,1,1,0,0,0,0,3,0,1,1,"469,665"
California,Cities,Los Alamitos,1,0,0,0,0,0,0,1,0,0,0,"11,735"
California,Cities,Los Angeles,41,29,33,9,0,0,2,21,40,25,28,"3,878,725"
California,Cities,Los Gatos,2,0,0,0,0,0,0,0,0,1,1,"30,351"
California,Cities,Lynwood,1,0,0,0,0,0,0,0,0,0,1,"71,077"
California,Cities,Malibu,1,0,0,0,0,0,0,0,0,1,0,"12,891"
California,Cities,Manhattan Beach,1,0,0,0,0,0,0,0,0,0,1,"35,930"
California,Cities,Manteca,1,1,1,0,0,0,0,1,1,0,1,"72,261"
California,Cities,Milpitas,1,0,0,0,0,0,0,1,0,0,0,"69,522"
California,Cities,Modesto,0,1,1,1,0,0,0,2,0,1,0,"204,252"
California,Cities,Montclair,2,0,0,0,0,0,0,1,0,1,0,"37,785"
California,Cities,Monterey,1,0,1,0,0,0,0,0,0,1,1,"29,338"
California,Cities,Moreno Valley,1,0,0,0,0,0,0,0,0,0,1,"201,284"
California,Cities,Morgan Hill,0,1,0,0,0,0,0,0,0,0,1,"39,907"
California,Cities,Murrieta3,3,1,1,0,0,0,0,2,2,1,0,"107,768"
California,Cities,National City,2,0,1,0,0,0,0,1,0,1,1,"59,637"
California,Cities,Newark,2,0,0,1,0,0,0,1,1,0,1,"43,950"
California,Cities,Newport Beach,0,2,1,0,0,0,0,0,0,2,1,"87,639"
California,Cities,Norwalk,4,1,0,0,0,0,0,0,4,0,1,"106,518"
California,Cities,Oakland,4,1,4,2,0,0,0,2,4,3,2,"403,887"
California,Cities,Oceanside,5,1,1,1,0,0,0,2,4,2,0,"172,525"
California,Cities,Ontario,1,0,0,0,0,0,0,0,1,0,0,"168,144"
California,Cities,Orange,1,1,1,0,0,0,0,0,1,2,0,"140,304"
California,Cities,Oroville,1,0,1,0,0,0,0,0,0,1,1,"15,581"
California,Cities,Oxnard,0,0,1,0,0,0,0,0,0,0,1,"202,594"
California,Cities,Pacifica,0,1,0,0,0,0,0,0,0,1,0,"38,494"
California,Cities,Pacific Grove,0,1,0,0,0,0,0,1,0,0,0,"15,518"
California,Cities,Palmdale,4,1,3,0,0,0,0,3,1,3,1,"156,522"
California,Cities,Palm Springs,3,1,4,0,0,0,0,4,1,2,1,"46,282"
California,Cities,Palo Alto,0,0,0,1,0,0,0,1,0,0,0,"66,964"
California,Cities,Paramount,2,0,0,0,0,0,0,0,1,0,1,"54,868"
California,Cities,Pasadena,1,1,0,1,0,0,0,0,0,1,2,"139,003"
California,Cities,Pico Rivera,0,0,1,1,0,0,0,1,1,0,0,"63,710"
California,Cities,Pinole,0,0,0,1,0,0,0,0,0,1,0,"18,848"
California,Cities,Placentia,1,0,0,0,0,0,0,0,0,1,0,"52,002"
California,Cities,Rancho Cordova,1,0,0,0,0,0,0,1,0,0,0,"67,634"
California,Cities,Rancho Palos Verdes,0,1,0,0,0,0,0,0,0,0,1,"42,542"
California,Cities,Red Bluff,2,0,1,0,0,0,0,0,1,0,2,"14,170"
California,Cities,Redding,5,0,1,2,0,0,0,2,2,3,1,"91,035"
California,Cities,Redlands,0,2,1,0,0,0,0,0,1,0,2,"70,282"
California,Cities,Redondo Beach,2,0,1,2,0,0,0,1,2,1,1,"67,993"
California,Cities,Redwood City,0,1,0,0,0,0,0,1,0,0,0,"79,707"
California,Cities,Richmond,1,0,2,0,0,0,0,0,0,2,1,"107,341"
California,Cities,Ridgecrest,0,0,1,0,0,0,0,0,1,0,0,"28,537"
California,Cities,Riverside,11,1,1,2,0,0,1,7,4,0,5,"316,423"
California,Cities,Rohnert Park,0,0,0,3,0,0,0,2,0,0,1,"41,326"
California,Cities,Rolling Hills Estates,1,0,0,0,0,0,0,0,0,0,1,"8,229"
California,Cities,Roseville,0,0,1,0,0,0,0,0,1,0,0,"126,236"
California,Cities,Sacramento,6,2,6,2,0,0,0,2,5,6,3,"478,182"
California,Cities,Salinas,0,0,1,1,0,0,0,0,0,0,2,"155,742"
California,Cities,San Bernardino,2,0,0,1,0,0,0,0,0,2,1,"214,322"
California,Cities,San Diego,18,12,12,1,0,0,0,7,10,17,9,"1,349,306"
California,Cities,San Dimas,1,0,0,0,0,0,0,1,0,0,0,"33,854"
California,Cities,San Francisco,7,3,13,1,0,0,0,4,8,8,4,"833,863"
California,Cities,San Jose,6,2,6,1,0,0,0,7,1,2,5,"992,143"
California,Cities,San Leandro,3,0,1,1,0,0,0,2,1,2,0,"87,490"
California,Cities,San Luis Obispo,1,0,1,0,0,0,0,0,0,2,0,"46,095"
California,Cities,San Mateo,0,0,1,0,0,0,0,0,0,1,0,"100,440"
California,Cities,Santa Ana,0,0,1,0,0,0,0,0,0,1,0,"332,848"
California,Cities,Santa Barbara,1,0,1,0,0,0,0,0,0,1,1,"90,006"
California,Cities,Santa Clara,0,0,2,0,0,0,0,0,0,2,0,"120,150"
California,Cities,Santa Clarita,2,0,3,0,0,0,0,2,1,1,1,"204,951"
California,Cities,Santa Cruz,1,0,1,0,0,0,0,1,0,0,1,"62,517"
California,Cities,Santa Maria,0,0,1,0,0,0,0,0,0,0,1,"102,051"
California,Cities,Santa Rosa,0,1,2,0,0,0,0,2,1,0,0,"171,564"
California,Cities,Santee,1,0,1,1,0,0,0,2,0,1,0,"55,924"
California,Cities,Saratoga,1,0,0,0,0,0,0,0,1,0,0,"30,897"
California,Cities,Simi Valley,1,1,0,1,0,0,0,1,0,2,0,"126,215"
California,Cities,Sonora,1,0,0,0,0,0,0,0,0,1,0,"4,774"
California,Cities,South Gate,0,1,1,0,0,0,0,1,0,1,0,"95,591"
California,Cities,South Lake Tahoe,0,0,0,1,0,0,0,0,0,1,0,"21,243"
California,Cities,Stanton,0,0,1,0,0,0,0,0,1,0,0,"39,128"
California,Cities,Stockton,1,0,1,0,0,0,0,1,0,0,1,"299,796"
California,Cities,Sunnyvale,1,0,0,0,0,0,0,0,1,0,0,"148,160"
California,Cities,Taft,0,0,1,0,0,0,0,1,0,0,0,"8,839"
California,Cities,Tehachapi,1,0,0,1,0,0,0,1,0,1,0,"13,607"
California,Cities,Temecula,1,0,0,0,0,0,0,0,0,1,0,"106,680"
California,Cities,Temple City,0,1,0,0,0,0,0,0,0,0,1,"36,269"
California,Cities,Thousand Oaks,0,1,0,0,0,0,0,0,0,0,1,"128,884"
California,Cities,Torrance,1,0,0,1,0,0,0,0,0,2,0,"147,534"
California,Cities,Tracy,4,0,1,1,0,0,0,2,1,3,0,"85,174"
California,Cities,Turlock,1,0,0,0,0,0,0,0,0,0,1,"70,075"
California,Cities,Union City,1,0,0,4,0,0,0,1,3,1,0,"72,480"
California,Cities,Vallejo,1,0,0,1,0,0,0,0,2,0,0,"118,336"
California,Cities,Ventura,0,1,0,0,0,0,0,1,0,0,0,"108,204"
California,Cities,Vernon,1,0,0,0,0,0,0,0,1,0,0,115
California,Cities,Victorville,6,0,1,0,0,0,0,2,1,2,2,"121,699"
California,Cities,Visalia,1,0,1,0,0,0,0,1,1,0,0,"127,824"
California,Cities,Vista,1,0,1,0,0,0,0,0,1,0,1,"96,712"
California,Cities,Walnut Creek,1,0,0,0,0,0,0,0,0,0,1,"66,149"
California,Cities,West Covina,6,0,0,0,0,0,0,3,1,1,1,"107,867"
California,Cities,West Hollywood,1,0,2,2,0,0,0,1,1,3,0,"34,902"
California,Cities,Westlake Village,0,2,0,0,0,0,0,2,0,0,0,"8,440"
California,Cities,Westminster,1,1,1,1,1,0,0,1,1,1,2,"91,885"
California,Cities,Yorba Linda,1,0,0,0,0,0,0,0,0,0,1,"67,492"
California,Cities,Yuba City,0,0,0,1,0,0,0,0,0,1,0,"65,133"
California,Cities,Yucca Valley,1,0,0,0,0,0,0,0,0,1,0,"21,214"
California,Universities and Colleges,California State Polytechnic University: Pomona,0,0,0,1,0,0,0,1,0,0,0,"22,156"
California,Universities and Colleges,California State Polytechnic University: San Luis Obispo,0,0,1,0,0,0,0,1,0,0,0,"18,679"
California,Universities and Colleges,California State University: Dominguez Hills,1,0,1,0,0,0,0,1,0,1,0,"13,933"
California,Universities and Colleges,California State University: Long Beach,1,0,0,0,0,0,0,0,1,0,0,"36,279"
California,Universities and Colleges,California State University: San Bernardino,3,0,0,0,0,0,0,2,0,1,0,"18,234"
California,Universities and Colleges,California State University: San Jose,2,0,1,1,0,0,0,1,1,1,1,"30,448"
California,Universities and Colleges,California State University: San Marcos,0,0,1,0,0,0,0,1,0,0,0,"10,610"
California,Universities and Colleges,California State University: Stanislaus,0,0,1,0,0,0,0,0,0,0,1,"8,882"
California,Universities and Colleges,Humboldt State University,0,0,1,0,0,0,0,0,1,0,0,"8,116"
California,Universities and Colleges,Marin Community College,0,1,1,0,0,0,0,2,0,0,0,"7,058"
California,Universities and Colleges,University of California: Berkeley,3,2,1,1,0,0,0,1,1,4,1,"35,893"
California,Universities and Colleges,University of California: Davis,1,0,1,1,0,0,0,0,3,0,0,"32,354"
California,Universities and Colleges,University of California: Riverside,2,0,0,0,0,0,0,0,1,1,0,"20,947"
California,Universities and Colleges,University of California: San Diego,0,1,0,0,0,0,0,0,1,0,0,"28,294"
California,Universities and Colleges,University of California: Santa Cruz,0,0,1,0,0,0,0,1,0,0,0,"17,404"
California,Metropolitan Counties,El Dorado,0,0,1,1,0,0,0,1,0,0,1,
California,Metropolitan Counties,Kern,1,0,1,3,0,0,0,1,3,0,1,
California,Metropolitan Counties,Kings,0,0,1,0,0,0,0,1,0,0,0,
California,Metropolitan Counties,Los Angeles,20,3,17,10,0,0,0,14,10,11,15,
California,Metropolitan Counties,Orange,1,0,0,1,0,0,0,1,0,0,1,
California,Metropolitan Counties,Riverside,3,0,0,0,0,0,0,0,1,1,1,
California,Metropolitan Counties,Sacramento,9,1,3,0,0,0,0,2,3,3,5,
California,Metropolitan Counties,San Bernardino,2,0,1,2,0,0,1,1,0,3,2,
California,Metropolitan Counties,San Diego,6,2,3,2,0,0,0,3,2,3,5,
California,Metropolitan Counties,San Luis Obispo,3,0,1,0,0,0,0,0,0,1,3,
California,Metropolitan Counties,San Mateo,0,0,1,0,0,0,0,0,1,0,0,
California,Metropolitan Counties,Santa Barbara,2,0,2,0,0,0,0,1,2,1,0,
California,Metropolitan Counties,Santa Clara,1,0,1,0,0,0,0,0,2,0,0,
California,Metropolitan Counties,Santa Cruz,1,0,1,1,0,0,0,2,0,1,0,
California,Metropolitan Counties,Shasta,4,0,2,0,0,0,0,3,1,2,0,
California,Metropolitan Counties,Sonoma,1,0,1,0,0,0,0,0,0,2,0,
California,Metropolitan Counties,Ventura,1,1,0,0,0,0,0,0,0,2,0,
California,Metropolitan Counties,Yuba,1,0,0,0,0,0,0,0,0,1,0,
California,Nonmetropolitan Counties,Alpine,1,0,0,0,0,0,0,1,0,0,0,
California,Nonmetropolitan Counties,Amador,0,0,1,0,0,0,0,0,0,1,0,
California,Nonmetropolitan Counties,Calaveras,0,0,0,1,0,0,0,0,0,1,0,
California,Nonmetropolitan Counties,Lake,0,0,0,2,0,0,0,2,0,0,0,
California,State Police Agencies,"Highway Patrol, Plumas County",1,0,0,0,0,0,0,1,0,0,0,
California,Other Agencies,"Department of Parks and Recreation, Tehachapi District",1,0,0,0,0,0,0,0,0,1,0,
California,Other Agencies,Fontana Unified School District,1,0,0,0,0,0,0,0,0,0,1,
California,Other Agencies,Los Angeles Transportation Services Bureau,2,1,3,0,0,0,0,3,3,0,0,
California,Other Agencies,Port of San Diego Harbor,2,0,0,1,0,0,0,0,1,1,1,
California,Other Agencies,San Francisco Bay Area Rapid Transit: Alameda County,4,0,0,0,0,0,0,0,2,2,0,
California,Other Agencies,San Francisco Bay Area Rapid Transit: Contra Costa County,1,0,0,0,0,0,0,1,0,0,0,
California,Other Agencies,San Francisco Bay Area Rapid Transit: San Francisco County,1,0,1,0,0,0,0,2,0,0,0,
Colorado,Cities,Arvada,2,0,0,0,0,0,0,0,0,1,1,"110,792"
Colorado,Cities,Aurora,4,0,1,1,0,0,0,1,3,0,2,"343,484"
Colorado,Cities,Castle Rock,0,0,0,2,0,0,0,0,0,0,2,"52,309"
Colorado,Cities,Centennial,3,2,1,0,0,0,0,2,2,1,1,"104,771"
Colorado,Cities,Colorado Springs,3,1,2,1,0,0,0,2,4,1,0,"436,108"
Colorado,Cities,Commerce City,0,1,0,0,0,0,0,0,0,1,0,"49,200"
Colorado,Cities,Denver,9,5,15,1,0,0,0,3,13,9,5,"648,981"
Colorado,Cities,Dillon,0,0,0,1,0,0,0,0,1,0,0,906
Colorado,Cities,Durango,0,0,2,0,0,0,0,1,0,1,0,"17,303"
Colorado,Cities,Englewood,1,0,0,0,1,0,0,0,0,0,2,"31,454"
Colorado,Cities,Erie,0,1,0,0,0,0,0,1,0,0,0,"19,627"
Colorado,Cities,Fountain,2,0,1,0,0,0,0,2,1,0,0,"27,163"
Colorado,Cities,Glendale,0,1,0,0,0,0,0,1,0,0,0,"4,502"
Colorado,Cities,Glenwood Springs,0,0,1,0,0,0,0,0,0,1,0,"9,715"
Colorado,Cities,Golden,0,0,0,1,0,0,0,0,0,0,1,"19,334"
Colorado,Cities,Grand Junction,4,0,1,0,0,0,0,1,1,2,1,"60,167"
Colorado,Cities,Greeley,0,0,1,0,0,0,0,0,0,0,1,"96,111"
Colorado,Cities,Greenwood Village,1,0,0,0,0,0,0,0,1,0,0,"14,614"
Colorado,Cities,Lafayette,2,0,0,1,0,0,0,0,1,2,0,"26,145"
Colorado,Cities,Lakewood,1,1,1,1,0,0,0,1,1,0,2,"146,298"
Colorado,Cities,Littleton,1,0,0,0,0,0,0,1,0,0,0,"44,375"
Colorado,Cities,Lone Tree,0,0,1,0,0,0,0,0,0,1,0,"12,056"
Colorado,Cities,Longmont,1,0,1,1,0,0,0,2,1,0,0,"89,434"
Colorado,Cities,Loveland,1,0,0,0,0,0,0,0,1,0,0,"71,325"
Colorado,Cities,Monument,0,1,0,0,0,0,0,0,0,1,0,"5,800"
Colorado,Cities,Pueblo,2,0,0,0,0,0,0,0,0,1,1,"108,062"
Colorado,Cities,Rifle,0,0,0,1,0,0,0,1,0,0,0,"9,306"
Colorado,Cities,Snowmass Village,1,0,0,0,0,0,0,1,0,0,0,"2,851"
Colorado,Cities,Steamboat Springs,0,0,0,1,0,0,0,0,0,1,0,"12,008"
Colorado,Cities,Telluride,0,0,1,0,0,0,0,0,0,1,0,"2,313"
Colorado,Cities,Thornton,0,1,2,0,0,0,0,0,0,1,2,"125,775"
Colorado,Cities,Westminster,0,0,1,0,0,0,0,1,0,0,0,"110,093"
Colorado,Universities and Colleges,"Colorado State University, Fort Collins",1,0,0,0,0,0,0,0,0,0,1,"30,659"
Colorado,Universities and Colleges,"University of Colorado, Boulder",0,0,2,0,0,0,0,0,0,0,2,"31,945"
Colorado,Metropolitan Counties,Adams,1,0,1,1,0,0,0,1,0,2,0,
Colorado,Metropolitan Counties,Arapahoe,4,2,2,0,0,0,0,6,0,2,0,
Colorado,Metropolitan Counties,El Paso,2,0,0,0,0,0,0,0,0,1,1,
Colorado,Metropolitan Counties,Larimer,0,0,2,0,0,0,0,0,0,0,2,
Colorado,Metropolitan Counties,Mesa,0,0,0,1,0,0,0,1,0,0,0,
Colorado,Metropolitan Counties,Park,1,0,0,0,0,0,0,0,1,0,0,
Colorado,Metropolitan Counties,Pueblo,1,0,0,0,0,0,0,0,0,1,0,
Colorado,Metropolitan Counties,Weld,1,0,1,0,0,0,0,1,0,1,0,
Colorado,Nonmetropolitan Counties,Cheyenne,0,0,0,1,0,0,0,1,0,0,0,
Colorado,Nonmetropolitan Counties,Garfield,1,1,0,0,0,0,0,0,1,0,1,
Colorado,Nonmetropolitan Counties,Logan,1,1,0,0,0,0,0,0,0,1,1,
Colorado,Nonmetropolitan Counties,Montezuma,1,0,0,0,0,0,0,1,0,0,0,
Colorado,Nonmetropolitan Counties,Pitkin,1,0,0,0,0,0,0,0,0,0,1,
Colorado,State Police Agencies,Colorado State Patrol,1,0,0,0,0,,,0,0,0,1,
Connecticut,Cities,Bethel,1,0,0,0,0,0,0,1,0,0,0,"19,338"
Connecticut,Cities,Bridgeport,5,1,2,3,0,0,0,2,4,3,2,"147,076"
Connecticut,Cities,Canton,0,0,1,0,0,0,0,0,0,1,0,"10,369"
Connecticut,Cities,Danbury,0,1,1,1,0,0,0,,2,,1,"83,363"
Connecticut,Cities,Derby,1,0,0,0,0,0,0,0,0,0,1,"12,806"
Connecticut,Cities,East Hampton,0,2,0,0,0,0,0,0,1,0,1,"12,934"
Connecticut,Cities,East Hartford,0,0,1,0,0,0,0,0,1,0,0,"51,275"
